a52dec 0.7.4-9
mhwd 0.5.8-2
mhwd-amdgpu 1.1.0-3.1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-1
mhwd-db 0.5.8-4
mhwd-nvidia 1:375.20-1
mhwd-nvidia-304xx 1:304.131-1
mhwd-nvidia-340xx 340.98-1
mime-types 9-1
minizip 1:1.2.8-7
mkinitcpio 22-1
mkinitcpio-busybox 1.24.2-1
mkinitcpio-nfs-utils 0.3-5.3
mobile-broadband-provider-info 20151214-1
modemmanager 1.6.4-1
mono 4.6.1.3-1
mousepad 0.4.0-2
mozilla-common 1.4-4
mpfr 3.1.5-1
mpv 1:0.22.0-2
mtdev 1.1.5-1
mugshot 0.3.1-2
nano 2.7.1-1
nbd 3.14-2
ncurses 6.0+20161112-1
ndiswrapper-utils 1.59-1
neon 0.30.2-1
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.4.2-1
networkmanager 1.4.2-2
networkmanager-dispatcher-ntpd 1.0-6
nfs-utils 1.3.4-1
nfsidmap 0.26-1
nilfs-utils 2.2.6-1
nm-connection-editor 1.4.2-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.1-1
nss-mdns 0.10-6
ntfs-3g 2016.2.22-1
ntp 4.2.8.p9-1
numix-manjaro-themes 20150610-2
numix-themes 2.6.5-1
numix-themes-darkblue 2.6.4-1
numlockx 1.2-3
open-fuse-iso 1.1-1
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openjpeg2 2.1.2-1
openresolv 3.8.1-1
openssl 1.0.2.j-1
opera 41.0.2353.69-1
opus 1.1.3-2
orc 0.4.26-1
os-prober 1.71-1
p11-kit 0.23.2-1
pa-applet 1.0.2-2
package-query 1.8-1
pacman 5.0.1-4
pacman-mirrorlist 20161101-1
palemoon-bin 27.0.2-1
pam 1.3.0-1
pamac 4.1.6-2
pambase 20130928-1
pango 1.40.3-1
pangomm 2.40.1-1
parted 3.2-5
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.39-2
pcre2 10.22-2
perl 5.24.0-2
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
perl-uri 1.71-1
perl-xml-parser 2.44-3
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
plymouth 1:0.8.8-2
plymouth-theme-manjaro-elegant 1.0.1-1
polkit 0.113-4.2
polkit-gnome 0.105-3
polkit-qt5 0.112.0+git20160226-1
poppler 0.49.0-1
poppler-qt5 0.49.0-1
popt 1.16-8
postgresql 9.6.1-3
postgresql-libs 9.6.1-3
powertop 2.8-2
ppp 2.4.7-2
procps-ng 3.3.12-1
progsreiserfs 0.3.0.5-8
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-alsa 2-3
pulseaudio-ctl 1.61-1
pulseaudio-zeroconf 9.0-1
pycharm-community 2016.2.3-2
pygobject-devel 3.22.0-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
python 3.5.2-3
python-appdirs 1.4.0-4
python-cairo 1.10.0-6
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-distutils-extra 2.39-1
python-gobject 3.22.0-1
python-packaging 16.8-1
python-pexpect 4.2.1-1
python-pip 8.1.2-1
python-psutil 5.0.0-1
python-ptyprocess 0.5.1-1
python-pyparsing 2.1.10-1
python-setuptools 1:28.8.0-1
python-six 1.10.0-2
python-xdg 0.25-3
python2 2.7.12-2
python2-appdirs 1.4.0-4
python2-cairo 1.10.0-2
python2-gconf 2.28.1-9
python2-gobject2 2.28.6-12
python2-packaging 16.8-1
